plan_id,plan_name,metal,premium,medical_deductable_person,medical_deductable_family,drug_deductable_person,drug_deductable_family,combined_deductable_person,combined_deductable_family,max_out_of_pocket_person,max_out_of_pocket_family,has_out_of_network,is_hsa,primary_care_visit_to_treat_an_injury_or_illness,specialist_visit,preventive_care_screening_immunization,preferred_brand_drugs,non_preferred_brand_drugs,specialty_drugs,generic_drugs,laboratory_outpatient_and_professional_services,x_rays_and_diagnostic_imaging,imaging,major_dental_care_child,orthodontia_child,basic_dental_care_child,dental_check_up_for_children,outpatient_facility_fee,outpatient_surgery_physician_surgical_services,home_health_care_services,outpatient_rehabilitation_services,prosthetic_devices,durable_medical_equipment,chiropractic_care,inpatient_rehabilitation_services,prenatal_and_postnatal_care,well_baby_visits_and_care,gym_membership_reimbursement,routine_eye_exam_for_children,eye_glasses_for_children,contact_lenses_for_children,skilled_nursing_facility,delivery_and_all_inpatient_services_for_maternity_care,inpatient_hospital_services,inpatient_physician_and_surgical_services,substance_abuse_disorder_outpatient_services,substance_abuse_disorder_inpatient_services,mental_behavioral_health_inpatient_services,mental_behavioral_health_outpatient_services,transplant,autism_spectrum_disorders,family_planning_services,chemotherapy,urgent_care_centers_or_facilities,emergency_room_services,emergency_transportation_ambulance,acupuncture,telemedicine
30672,"Select Care Gold , Gold, ST, INN, Dep25",Gold,549.38,600,1200,0,,,,4000,8000,No,No,"$25 Copay after deductible","$40 Copay after deductible",$0,$35,$70,,$10,"$40 Copay after deductible","$40 Copay after deductible","$40 Copay after deductible",,,,,"$100 Copay after deductible","$100 Copay after deductible","$25 Copay after deductible","$30 Copay after deductible","20% Coinsurance after deductible","20% Coinsurance after deductible","$40 Copay after deductible","$1000 Copay after deductible",$0,$0,$0,"$25 Copay after deductible","20% Coinsurance after deductible","20% Coinsurance after deductible","$1000 Copay per Stay after deductible","$1100 Copay after deductible","$1000 Copay per Stay after deductible","$100 Copay after deductible","$25 Copay after deductible","$1000 Copay after deductible","$1000 Copay after deductible","$25 Copay after deductible","$1100 Copay after deductible","$25 Copay after deductible",$0,"$25 Copay after deductible","$60 Copay after deductible","$150 Copay after deductible","$150 Copay after deductible",,
30675,"Select Care Silver, Silver, ST, INN, Dep25",Silver,452.77,2000,4000,0,,,,5500,11000,No,No,"$30 Copay after deductible","$50 Copay after deductible",$0,$35,$70,,$10,"$50 Copay after deductible","$50 Copay after deductible","$50 Copay after deductible",,,,,"$100 Copay after deductible","$100 Copay after deductible","$30 Copay after deductible","$30 Copay after deductible","30% Coinsurance after deductible","30% Coinsurance after deductible","$50 Copay after deductible","$1500 Copay after deductible",$0,$0,$0,"$30 Copay after deductible","30% Coinsurance after deductible","30% Coinsurance after deductible","$1500 Copay per Stay after deductible","$1600 Copay after deductible","$1500 Copay per Stay after deductible","$100 Copay after deductible","$30 Copay after deductible","$1500 Copay after deductible","$1500 Copay after deductible","$30 Copay after deductible","$1600 Copay after deductible","$30 Copay after deductible",$0,"$30 Copay after deductible","$70 Copay after deductible","$150 Copay after deductible","$150 Copay after deductible",,
30681,"Select Care Bronze, Bronze, ST, INN, Dep25",Bronze,387.87,,,,,3500,7000,6850,13700,No,No,"50% Coinsurance after deductible","50% Coinsurance after deductible",$0,"$35 Copay after deductible","$70 Copay after deductible",,"$10 Copay after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible",,,,,"50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible",$0,$0,$0,"50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible",$0,"50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible",,
31438,"UnitedHealthcare Compass Platinum ST INN Pediatric Dental Dep 25",Platinum,773.67,,,,,0,0,2000,4000,No,No,$15,$35,$0,$30,$60,,$10,$35,$35,$35,$15,$15,$15,$15,$100,$100,$15,$25,10%,10%,$35,$500,$0,$0,$0,$15,10%,10%,"$500 Copay per Stay",$600,"$500 Copay per Stay",$100,$15,"$500 Copay per Stay","$500 Copay per Stay",$15,$600,$15,$0,$15,$55,$100,$100,,
31444,"UnitedHealthcare Compass Gold ST INN Pediatric Dental Dep 25",Gold,655.59,600,1200,0,0,,,4000,8000,No,No,"$25 Copay after deductible","$40 Copay after deductible",$0,$35,$70,,$10,"$40 Copay after deductible","$40 Copay after deductible","$40 Copay after deductible","$25 Copay after deductible","$25 Copay after deductible","$25 Copay after deductible","$25 Copay after deductible","$100 Copay after deductible","$100 Copay after deductible","$25 Copay after deductible","$30 Copay after deductible","20% Coinsurance after deductible","20% Coinsurance after deductible","$40 Copay after deductible","$1000 Copay after deductible",$0,$0,$0,"$25 Copay after deductible","20% Coinsurance after deductible","20% Coinsurance after deductible","$1000 Copay per Stay after deductible","$1100 Copay after deductible","$1000 Copay per Stay after deductible","$100 Copay after deductible","$25 Copay after deductible","$1000 Copay per Stay after deductible","$1000 Copay per Stay after deductible","$25 Copay after deductible","$1100 Copay after deductible","$25 Copay after deductible",$0,"$25 Copay after deductible","$60 Copay after deductible","$150 Copay after deductible","$150 Copay after deductible",,
31450,"UnitedHealthcare Compass Silver ST INN Pediatric Dental Dep 25",Silver,555.39,2000,4000,0,0,,,5500,11000,No,No,"$30 Copay after deductible","$50 Copay after deductible",$0,$35,$70,,$10,"$50 Copay after deductible","$50 Copay after deductible","$50 Copay after deductible","$30 Copay after deductible","$30 Copay after deductible","$30 Copay after deductible","$30 Copay after deductible","$100 Copay after deductible","$100 Copay after deductible","$30 Copay after deductible","$30 Copay after deductible","30% Coinsurance after deductible","30% Coinsurance after deductible","$50 Copay after deductible","$1500 Copay after deductible",$0,$0,$0,"$30 Copay after deductible","30% Coinsurance after deductible","30% Coinsurance after deductible","$1500 Copay per Stay after deductible","$1600 Copay after deductible","$1500 Copay per Stay after deductible","$100 Copay after deductible","$30 Copay after deductible","$1500 Copay per Stay after deductible","$1500 Copay per Stay after deductible","$30 Copay after deductible","$1600 Copay after deductible","$30 Copay after deductible",$0,"$30 Copay after deductible","$70 Copay after deductible","$150 Copay after deductible","$150 Copay after deductible",,
31462,"UnitedHealthcare Compass Bronze ST INN Pediatric Dental Dep 25",Bronze,452.56,,,,,3500,7000,6850,13700,No,No,"50% Coinsurance after deductible","50% Coinsurance after deductible",$0,$35,$70,,$10,"50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible",$0,$0,"50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible",$0,"50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible",,
31485,"Fidelis Care Bronze ST INN Pediatric Dental Dep25",Bronze,324.45,,,,,3500,7000,6850,13700,No,No,"50% Coinsurance after deductible","50% Coinsurance after deductible",$0,"$35 Copay after deductible","$70 Copay after deductible",,"$10 Copay after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible",$0,$0,$0,"50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible",$0,"50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible",,
31488,"Fidelis Care Silver ST INN Pediatric Dental Dep25",Silver,408.04,2000,4000,,,,,5500,11000,No,No,"$30 Copay after deductible","$50 Copay after deductible",$0,$35,$70,,$10,"$50 Copay after deductible","$50 Copay after deductible","$50 Copay after deductible","$30 Copay after deductible","$30 Copay after deductible","$30 Copay after deductible","$30 Copay after deductible","$100 Copay after deductible","$100 Copay after deductible","$30 Copay after deductible","$30 Copay after deductible","30% Coinsurance after deductible","30% Coinsurance after deductible","$50 Copay after deductible","$1500 Copay after deductible",$0,$0,,"$30 Copay after deductible","30% Coinsurance after deductible","30% Coinsurance after deductible","$1500 Copay per Stay after deductible","$1600 Copay after deductible","$1500 Copay per Stay after deductible","$100 Copay after deductible","$30 Copay after deductible","$1500 Copay per Stay after deductible","$1500 Copay per Stay after deductible","$30 Copay after deductible","$1600 Copay after deductible","$30 Copay after deductible",$0,"$30 Copay after deductible","$70 Copay after deductible","$150 Copay after deductible","$150 Copay after deductible",,
31494,"Fidelis Care Gold ST INN Pediatric Dental Dep25",Gold,499.83,600,1200,,,,,4000,8000,No,No,"$25 Copay after deductible","$40 Copay after deductible",$0,$35,$70,,$10,"$40 Copay after deductible","$40 Copay after deductible","$40 Copay after deductible","$25 Copay after deductible","$25 Copay after deductible","$25 Copay after deductible","$25 Copay after deductible","$100 Copay after deductible","$100 Copay after deductible","$25 Copay after deductible","$30 Copay after deductible","20% Coinsurance after deductible","20% Coinsurance after deductible","$40 Copay after deductible","$1000 Copay after deductible",$0,$0,,"$25 Copay after deductible","20% Coinsurance after deductible","20% Coinsurance after deductible","$1000 Copay per Stay after deductible","$1100 Copay after deductible","$1000 Copay per Stay after deductible","$100 Copay after deductible","$25 Copay after deductible","$1000 Copay per Stay after deductible","$1000 Copay per Stay after deductible","$25 Copay after deductible","$1100 Copay after deductible","$25 Copay after deductible",$0,"$25 Copay after deductible","$60 Copay after deductible","$150 Copay after deductible","$150 Copay after deductible",,
31497,"Fidelis Care Platinum ST INN Pediatric Dental Dep25",Platinum,607.42,0,0,,,,,2000,4000,No,No,$15,$35,$0,$30,$60,,$10,$35,$35,$35,$15,$15,$15,$15,$100,$100,$15,$25,10%,10%,$35,$500,$0,$0,,$15,10%,10%,"$500 Copay per Stay",$600,"$500 Copay per Stay",$100,$15,"$500 Copay per Stay","$500 Copay per Stay",$15,$600,$15,$0,$15,$55,$100,$100,,
31809,"AffinityAccess Platinum ST INN Pediatric Dental Dep25",Platinum,549.83,,0,,0,,,,4000,No,No,$15,$35,$0,$30,$60,,$10,$35,$35,$35,$15,$15,$15,$15,$100,$100,$15,$25,10%,10%,$35,$500,$0,$0,$0,$15,10%,10%,"$500 Copay per Stay",$600,"$500 Copay per Stay",$100,$15,$500,$500,$15,$600,$15,$0,$15,$55,$100,$100,,
31812,"AffinityAccess Gold ST INN Pediatric Dental Dep25",Gold,470.12,,1200,,0,,,,8000,No,No,"$25 Copay after deductible","$40 Copay after deductible",$0,"$35 Copay after deductible","$70 Copay after deductible",,"$10 Copay after deductible","$40 Copay after deductible","$40 Copay after deductible","$40 Copay after deductible","$25 Copay after deductible","$25 Copay after deductible","$25 Copay after deductible","$25 Copay after deductible","$100 Copay after deductible","$100 Copay after deductible","$25 Copay after deductible","$30 Copay after deductible","20% Coinsurance after deductible","20% Coinsurance after deductible","$40 Copay after deductible","$1000 Copay after deductible",$0,$0,$0,"$25 Copay after deductible","20% Coinsurance after deductible","20% Coinsurance after deductible","$1000 Copay per Stay after deductible","$1100 Copay after deductible","$1000 Copay per Stay after deductible","$100 Copay after deductible","$25 Copay after deductible","$1000 Copay after deductible","$1000 Copay after deductible","$25 Copay after deductible","$1100 Copay after deductible","$25 Copay after deductible",$0,"$25 Copay after deductible","$60 Copay after deductible","$150 Copay after deductible","$150 Copay after deductible",,
31815,"AffinityAccess Silver ST INN Pediatric Dental Dep25",Silver,395.27,,4000,,0,,,,11000,No,No,"$30 Copay after deductible","$50 Copay after deductible",$0,"$35 Copay after deductible","$70 Copay after deductible",,"$10 Copay after deductible","$50 Copay after deductible","$50 Copay after deductible","$50 Copay after deductible","$30 Copay after deductible","$30 Copay after deductible","$30 Copay after deductible","$30 Copay after deductible","$100 Copay after deductible","$100 Copay after deductible","$30 Copay after deductible","$30 Copay after deductible","30% Coinsurance after deductible","30% Coinsurance after deductible","$50 Copay after deductible","$1500 Copay after deductible",$0,$0,$0,"$30 Copay after deductible","30% Coinsurance after deductible","30% Coinsurance after deductible","$1500 Copay per Stay after deductible","$1600 Copay after deductible","$1500 Copay per Stay after deductible","$100 Copay after deductible","$30 Copay after deductible","$1500 Copay after deductible","$1500 Copay after deductible","$30 Copay after deductible","$1600 Copay after deductible","$30 Copay after deductible",$0,"$30 Copay after deductible","$70 Copay after deductible","$150 Copay after deductible","$150 Copay after deductible",,
31821,"AffinityAccess Bronze ST INN Pediatric Dental Dep25",Bronze,332.22,,,,,,7000,,13700,No,No,"50% Coinsurance after deductible","50% Coinsurance after deductible",$0,"$35 Copay after deductible","$70 Copay after deductible",,"$10 Copay after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible",$0,$0,$0,"50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible",$0,"50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible",,
31855,"AffinityAccess Platinum ST INN Dep25",Platinum,549.08,,0,,0,,,,4000,No,No,$15,$35,$0,$30,$60,,$10,$35,$35,$35,,,,,$100,$100,$15,$25,10%,10%,$35,$500,$0,$0,$0,$15,10%,10%,"$500 Copay per Stay",$600,"$500 Copay per Stay",$100,$15,$500,$500,$15,$600,$15,$0,$15,$55,$100,$100,,
31858,"AffinityAccess Gold ST INN Dep25",Gold,469.44,,1200,,0,,,,8000,No,No,"$25 Copay after deductible","$40 Copay after deductible",$0,"$35 Copay after deductible","$70 Copay after deductible",,"$10 Copay after deductible","$40 Copay after deductible","$40 Copay after deductible","$40 Copay after deductible",,,,,"$100 Copay after deductible","$100 Copay after deductible","$25 Copay after deductible","$30 Copay after deductible","20% Coinsurance after deductible","20% Coinsurance after deductible","$40 Copay after deductible","$1000 Copay after deductible",$0,$0,$0,"$25 Copay after deductible","20% Coinsurance after deductible","20% Coinsurance after deductible","$1000 Copay per Stay after deductible","$1100 Copay after deductible","$1000 Copay per Stay after deductible","$100 Copay after deductible","$25 Copay after deductible","$1000 Copay after deductible","$1000 Copay after deductible","$25 Copay after deductible","$1100 Copay after deductible","$25 Copay after deductible",$0,"$25 Copay after deductible","$60 Copay after deductible","$150 Copay after deductible","$150 Copay after deductible",,
31861,"AffinityAccess Silver ST INN Dep25",Silver,394.73,,4000,,0,,,,11000,No,No,"$30 Copay after deductible","$50 Copay after deductible",$0,"$35 Copay after deductible","$70 Copay after deductible",,"$10 Copay after deductible","$50 Copay after deductible","$50 Copay after deductible","$50 Copay after deductible",,,,,"$100 Copay after deductible","$100 Copay after deductible","$30 Copay after deductible","$30 Copay after deductible","30% Coinsurance after deductible","30% Coinsurance after deductible","$50 Copay after deductible","$1500 Copay after deductible",$0,$0,$0,"$30 Copay after deductible","30% Coinsurance after deductible","30% Coinsurance after deductible","$1500 Copay per Stay after deductible","$1600 Copay after deductible","$1500 Copay per Stay after deductible","$100 Copay after deductible","$30 Copay after deductible","$1500 Copay after deductible","$1500 Copay after deductible","$30 Copay after deductible","$1600 Copay after deductible","$30 Copay after deductible",$0,"$30 Copay after deductible","$70 Copay after deductible","$150 Copay after deductible","$150 Copay after deductible",,
31867,"AffinityAccess Bronze ST INN Dep25",Bronze,331.96,,,,,,7000,,13700,No,No,"50% Coinsurance after deductible","50% Coinsurance after deductible",$0,"$35 Copay after deductible","$70 Copay after deductible",,"$10 Copay after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible",,,,,"50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible",$0,$0,$0,"50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible",$0,"50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible",,
31901,"AffinityAccess 2.0 Platinum NS INN Pediatric Dental Dep25, Adult Dental Clng Exams Whtng, Vsn Exam",Platinum,563.43,,0,,0,,,,4000,No,No,$15,$35,$0,$30,$60,,$10,$35,$35,$35,$15,$15,$15,$15,$100,$100,$15,$25,10%,10%,$35,$500,$0,$0,$0,$15,10%,10%,"$500 Copay per Stay",$600,"$500 Copay per Stay",$100,$15,$500,$500,$15,$600,$15,$0,$15,$55,$100,$100,,
