plan_id,plan_name,metal,premium,medical_deductable_person,medical_deductable_family,drug_deductable_person,drug_deductable_family,combined_deductable_person,combined_deductable_family,max_out_of_pocket_person,max_out_of_pocket_family,has_out_of_network,is_hsa,primary_care_visit_to_treat_an_injury_or_illness,specialist_visit,preventive_care_screening_immunization,preferred_brand_drugs,non_preferred_brand_drugs,specialty_drugs,generic_drugs,transplant,second_opinion,applied_behavior_analysis_based_therapies,chemotherapy,family_planning_services,urgent_care_centers_or_facilities,emergency_room_services,emergency_transportation_ambulance,well_baby_visits_and_care,prenatal_and_postnatal_care,gym_membership_reimbursement,x_rays_and_diagnostic_imaging,laboratory_outpatient_and_professional_services,imaging,major_dental_care_child,orthodontia_child,basic_dental_care_child,dental_check_up_for_children,mental_behavioral_health_inpatient_services,mental_behavioral_health_outpatient_services,substance_abuse_disorder_inpatient_services,substance_abuse_disorder_outpatient_services,outpatient_facility_fee,outpatient_surgery_physician_surgical_services,home_health_care_services,outpatient_rehabilitation_services,prosthetic_devices,chiropractic_care,inpatient_rehabilitation_services,durable_medical_equipment,skilled_nursing_facility,delivery_and_all_inpatient_services_for_maternity_care,inpatient_hospital_services,inpatient_physician_and_surgical_services,routine_eye_exam_for_children,contact_lenses_for_children,eye_glasses_for_children,acupuncture,telemedicine,step_tracking,free_pcp_visits_at_the_oscar_health_center,teeth_whitening_for_adults,autism_spectrum_disorders,dental_x_rays_for_adults,basic_dental_care_adult,routine_dental_services,routine_eye_exam
38747,"MVP Premier HDHP Bronze 1 ST INN Dep25 Telemedicine Wellness",Bronze,876.78,,,,,5500,11000,6550,13100,No,Yes,"50% Coinsurance after deductible","50% Coinsurance after deductible",$0,"$35 Copay after deductible","$70 Copay after deductible",,"$10 Copay after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible",$0,"50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible",$0,$0,,"50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible",,,,,"50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible",,,,,,,,,,
38756,"MVP Premier Silver ST INN Dep25 Telemedicine Wellness",Silver,1123.18,1650,3300,0,0,,,5700,11400,No,No,"$30 Copay after deductible","$50 Copay after deductible",$0,$35.00,$70.00,,$10.00,"$1600 Copay after deductible","$50 Copay after deductible","$30 Copay after deductible","$30 Copay after deductible",$0,"$70 Copay after deductible","$250.00 Copay after deductible","$150 Copay after deductible",$0,$0,,"$50 Copay after deductible","$50 Copay after deductible","$50 Copay after deductible",,,,,"$1500 Copay per Stay after deductible","$30 Copay after deductible","$1500 Copay per Stay after deductible","$30 Copay after deductible","$100 Copay after deductible","$100 Copay after deductible","$30 Copay after deductible","$30 Copay after deductible","25% Coinsurance after deductible","$50 Copay after deductible","$1500 Copay after deductible","25% Coinsurance after deductible","$1500 Copay per Stay after deductible","$1600 Copay after deductible","$1500 Copay per Stay after deductible","$100 Copay after deductible","$30 Copay after deductible","25% Coinsurance after deductible","25% Coinsurance after deductible",,,,,,,,,,
38765,"MVP Premier Gold ST INN Dep25 Telemedicine WellnessÂ",Gold,1343.14,600,1200,0,0,,,4000,8000,No,No,"$25 Copay after deductible","$40 Copay after deductible",$0,$35.00,$70.00,,$10.00,"$1100 Copay after deductible","$40 Copay after deductible","$25 Copay after deductible","$25 Copay after deductible",$0,"$60 Copay after deductible","$150 Copay after deductible","$150 Copay after deductible",$0,$0,,"$40 Copay after deductible","$40 Copay after deductible","$40 Copay after deductible",,,,,"$1000 Copay per Stay after deductible","$25 Copay after deductible","$1000 Copay per Stay after deductible",$0.00,"$100 Copay after deductible","$100 Copay after deductible","$25 Copay after deductible","$30.00 Copay after deductible","20% Coinsurance after deductible","$40 Copay after deductible","$1000 Copay after deductible","20% Coinsurance after deductible","$1000 Copay per Stay after deductible","$1100 Copay after deductible","$1000 Copay per Stay after deductible","$100 Copay after deductible","$25 Copay after deductible","20% Coinsurance after deductible","20% Coinsurance after deductible",,,,,,,,,,
38771,"MVP Premier Platinum ST INN Dep25 Telemedicine Wellness",Platinum,1556.62,0,0,0,0,,,2000,4000,No,No,$15.00,$35.00,$0,$30.00,$60.00,,$10.00,$600.00,$35.00,$15.00,$15.00,$0,$55.00,$100.00,$100.00,$0,$0,,$35.00,$35.00,$35.00,,,,,"$500 Copay per Stay",$15.00,"$500 Copay per Stay",$15.00,$100.00,$100.00,$15.00,$25.00,10.00%,$35.00,$500.00,10.00%,"$500 Copay per Stay",$600.00,"$500 Copay per Stay",$100.00,$15.00,10.00%,10.00%,,,,,,,,,,
38777,"MVP Premier Bronze 2 ST INN Dep25 Telemedicine Wellness",Bronze,879.58,,,,,4000,8000,7150,14300,No,No,"50% Coinsurance after deductible","50% Coinsurance after deductible",$0,"$35 Copay after deductible","$70 Copay after deductible",,"$10 Copay after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible",$0,"50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible",$0,$0,,"50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible",,,,,"50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible",,,,,,,,,,
38783,"MVP Premier Gold 2 ST3PCP INN Dep25 Telemedicine Wellness",Gold,1343.14,650,1300,0,0,,,5000,10000,No,No,"$25.00 Copay after deductible","$40.00 Copay after deductible",$0,$40.00,$80.00,,$10.00,"$1100.00 Copay after deductible","$40.00 Copay after deductible","$25.00 Copay after deductible","$25.00 Copay after deductible",$0,"$60.00 Copay after deductible","$150.00 Copay after deductible","$150.00 Copay after deductible",$0,$0,,"$40.00 Copay after deductible","$40.00 Copay after deductible","$40.00 Copay after deductible",,,,,"$1000.00 Copay per Stay after deductible","$25.00 Copay after deductible","$1000.00 Copay per Stay after deductible","$25.00 Copay after deductible","$100.00 Copay after deductible","$100.00 Copay after deductible","$25.00 Copay after deductible","$30.00 Copay after deductible","20.00% Coinsurance after deductible","$40.00 Copay after deductible","$1000.00 Copay after deductible","20.00% Coinsurance after deductible","$1000.00 Copay per Stay after deductible","$1100.00 Copay after deductible","$1000.00 Copay per Stay after deductible","$100.00 Copay after deductible","$25.00 Copay after deductible","20.00% Coinsurance after deductible","20.00% Coinsurance after deductible",,,,,,,,,,
38792,"MVP Premier Silver 2 ST3PCP INN Dep25 Telemedicine Wellness",Silver,1127.50,2000,4000,0,0,,,5700,11400,No,No,"$35.00 Copay after deductible","$55.00 Copay after deductible",$0,$40.00,$80.00,,$10.00,"$1600.00 Copay after deductible","$55.00 Copay after deductible","$35.00 Copay after deductible","$35.00 Copay after deductible",$0,"$70.00 Copay after deductible","$250.00 Copay after deductible","$150.00 Copay after deductible",$0,$0,,"$55.00 Copay after deductible","$55.00 Copay after deductible","$55.00 Copay after deductible",,,,,"$1500.00 Copay per Stay after deductible","$35.00 Copay after deductible","$1500.00 Copay per Stay after deductible","$35.00 Copay after deductible","$100.00 Copay after deductible","$100.00 Copay after deductible","$35.00 Copay after deductible","$35.00 Copay after deductible","25.00% Coinsurance after deductible","$55.00 Copay after deductible","$1500.00 Copay after deductible","25.00% Coinsurance after deductible","$1500.00 Copay per Stay after deductible","$1600.00 Copay after deductible","$1500.00 Copay per Stay after deductible","$100.00 Copay after deductible","$35.00 Copay after deductible","25.00% Coinsurance after deductible","25.00% Coinsurance after deductible",,,,,,,,,,
38906,"MVP Premier Plus HDHP Bronze 3 NS INN Dep25 Acupuncture Preventive Rx Telelmedicine Wellness",Bronze,901.98,,,,,5900,11800,6550,13100,No,Yes,"$30.00 Copay after deductible","$50.00 Copay after deductible",$0,"$45.00 Copay after deductible","$90.00 Copay after deductible",,"$10.00 Copay after deductible","30.00% Coinsurance after deductible","$50.00 Copay after deductible","$50.00 Copay after deductible","$50.00 Copay after deductible",$0,"$50.00 Copay after deductible","$500.00 Copay after deductible","$500.00 Copay after deductible",$0,$0,,"$100.00 Copay after deductible","$50.00 Copay after deductible","$200.00 Copay after deductible",,,,,"30.00% Coinsurance after deductible","$30.00 Copay after deductible","30.00% Coinsurance after deductible","$30.00 Copay after deductible","$100.00 Copay after deductible","$100.00 Copay after deductible","$50.00 Copay after deductible","$50.00 Copay after deductible","50.00% Coinsurance after deductible","$50.00 Copay after deductible","30.00% Coinsurance after deductible","50.00% Coinsurance after deductible","30.00% Coinsurance after deductible","30.00% Coinsurance after deductible","30.00% Coinsurance after deductible","30.00% Coinsurance after deductible","$50.00 Copay after deductible","50.00% Coinsurance after deductible","50.00% Coinsurance after deductible","50.00% Coinsurance after deductible",,,,,,,,,
38912,"MVP Premier Plus HDHP Silver 3 NS INN Dep25 Acupuncture Preventive Rx Telemedicine Wellness",Silver,1059.76,,,,,1700,3400,5000,10000,No,Yes,"$25.00 Copay after deductible","$50.00 Copay after deductible",$0,"$40.00 Copay after deductible","$70.00 Copay after deductible",,"$10.00 Copay after deductible","$600.00 Copay after deductible","$50.00 Copay after deductible","$50.00 Copay after deductible","$50.00 Copay after deductible",$0,"$50.00 Copay after deductible","$200.00 Copay after deductible","$200.00 Copay after deductible",$0,$0,,"$50.00 Copay after deductible","$50.00 Copay after deductible","$150.00 Copay after deductible",,,,,"$500.00 Copay per Stay after deductible","$25.00 Copay after deductible","$500.00 Copay per Stay after deductible","$25.00 Copay after deductible","$200.00 Copay after deductible","$100.00 Copay after deductible","$50.00 Copay after deductible","$50.00 Copay after deductible","50.00% Coinsurance after deductible","$50.00 Copay after deductible","$500.00 Copay after deductible","50.00% Coinsurance after deductible","$500.00 Copay per Stay after deductible","$600.00 Copay after deductible","$500.00 Copay per Stay after deductible","$100.00 Copay after deductible","$50.00 Copay after deductible","50.00% Coinsurance after deductible","50.00% Coinsurance after deductible","50.00% Coinsurance after deductible",,,,,,,,,
38915,"MVP Premier Plus HDHP Gold 2 NS INN Dep25 Acupuncture Preventive Rx Telemedicine Wellness",Gold,1234.32,,,,,1600,3200,6550,13100,No,Yes,"$5.00 Copay after deductible","$25.00 Copay after deductible",$0,"$15.00 Copay after deductible","$25.00 Copay after deductible",,"$5.00 Copay after deductible","$300.00 Copay after deductible","$25.00 Copay after deductible","$25.00 Copay after deductible","$25.00 Copay after deductible",$0,"$25.00 Copay after deductible","$75.00 Copay after deductible","$75.00 Copay after deductible",$0,$0,,"$30.00 Copay after deductible","$25.00 Copay after deductible","$130.00 Copay after deductible",,,,,"$200.00 Copay per Stay after deductible","$5.00 Copay after deductible","$200.00 Copay per Stay after deductible","$5.00 Copay after deductible","$100.00 Copay after deductible","$100.00 Copay after deductible","$25.00 Copay after deductible","$25.00 Copay after deductible","50.00% Coinsurance after deductible","$25.00 Copay after deductible","$200.00 Copay after deductible","50.00% Coinsurance after deductible","$200.00 Copay per Stay after deductible","$300.00 Copay after deductible","$200.00 Copay per Stay after deductible","$100.00 Copay after deductible","$25.00 Copay after deductible","50.00% Coinsurance after deductible","50.00% Coinsurance after deductible","50.00% Coinsurance after deductible",,,,,,,,,
40092,"CareConnect EPO Bronze ST INN Pediatric Dental Dep 25",Bronze,860.00,,,,,4000,8000,7150,14300,No,No,"50% Coinsurance after deductible","50% Coinsurance after deductible",$0,"$35 Copay after deductible","$70 Copay after deductible",,"$10 Copay after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible",$0,"50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible",$0,$0,$0,"50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible","50% Coinsurance after deductible",,$0,,,,,,,,
40101,"CareConnect EPO Silver ST INN Pediatric Dental Dep 25",Silver,1088.00,1650,3300,,,,,5700,11400,No,No,"$30 Copay after deductible","$50 Copay after deductible",$0,$35.00,$70.00,,$10.00,"$1600 Copay after deductible","$50 Copay after deductible","$30 Copay after deductible","$30 Copay after deductible",$0,"$70 Copay after deductible","$250.00 Copay after deductible","$150 Copay after deductible",$0,$0,$0,"$50 Copay after deductible","$50 Copay after deductible","$50 Copay after deductible","$30 Copay after deductible","$30 Copay after deductible","$30 Copay after deductible","$30 Copay after deductible","$1500 Copay per Stay after deductible","$30 Copay after deductible","$1500 Copay per Stay after deductible","$30 Copay after deductible","$100 Copay after deductible","$100 Copay after deductible","$30 Copay after deductible","$30 Copay after deductible","25% Coinsurance after deductible","$50 Copay after deductible","$1500 Copay after deductible","25% Coinsurance after deductible","$1500 Copay per Stay after deductible","$1600 Copay after deductible","$1500 Copay per Stay after deductible","$100 Copay after deductible","$30 Copay after deductible","25% Coinsurance after deductible","25% Coinsurance after deductible",,$0,,,,,,,,
40110,"CareConnect EPO Gold ST INN Pediatric Dental Dep 25",Gold,1274.00,600,1200,,,,,4000,8000,No,No,"$25 Copay after deductible","$40 Copay after deductible",$0,$35.00,$70.00,,$10.00,"$1100 Copay after deductible","$40 Copay after deductible","$25 Copay after deductible","$25 Copay after deductible",$0,"$60 Copay after deductible","$150 Copay after deductible","$150 Copay after deductible",$0,$0,$0,"$40 Copay after deductible","$40 Copay after deductible","$40 Copay after deductible","$25 Copay after deductible","$25 Copay after deductible","$25 Copay after deductible","$25 Copay after deductible","$1000 Copay per Stay after deductible","$25 Copay after deductible","$1000 Copay per Stay after deductible","$25 Copay after deductible","$100 Copay after deductible","$100 Copay after deductible","$25 Copay after deductible","$30 Copay after deductible","20% Coinsurance after deductible","$40 Copay after deductible","$1000 Copay after deductible","20% Coinsurance after deductible","$1000 Copay per Stay after deductible","$1100 Copay after deductible","$1000 Copay per Stay after deductible","$100 Copay after deductible","$25 Copay after deductible","20% Coinsurance after deductible","20% Coinsurance after deductible",,$0,,,,,,,,
